date,channel,country,campaign,spend,impressions,clicks
2025-07-06,Email,DE,lifecycle,32.14,3571,319
2025-07-06,Email,DE,newsletter,28.97,3219,329
2025-07-06,Email,IN,lifecycle,27.72,3081,287
2025-07-06,Email,IN,newsletter,27.96,3106,274
2025-07-06,Email,UK,lifecycle,46.11,5124,428
2025-07-06,Email,UK,newsletter,51.43,5714,503
2025-07-06,Email,US,lifecycle,64.64,7182,593
2025-07-06,Email,US,newsletter,72.31,8035,743
2025-07-06,Paid Search,BR,brand,227.34,3157,145
2025-07-06,Paid Search,BR,nonbrand,318.21,4420,191
2025-07-06,Paid Search,DE,brand,367.38,5102,240
2025-07-06,Paid Search,DE,nonbrand,391.3,5435,254
2025-07-06,Paid Search,IN,brand,297.03,4125,183
2025-07-06,Paid Search,IN,nonbrand,265.66,3690,158
2025-07-06,Paid Search,UK,brand,411.31,5713,257
2025-07-06,Paid Search,UK,nonbrand,507.84,7053,321
2025-07-06,Paid Search,US,brand,670.59,9314,448
2025-07-06,Paid Search,US,nonbrand,628.06,8723,413
2025-07-06,Paid Social,BR,prospecting,264.02,20309,369
2025-07-06,Paid Social,BR,retargeting,275.25,21173,368
2025-07-06,Paid Social,DE,prospecting,314.68,24206,438
2025-07-06,Paid Social,DE,retargeting,241.69,18592,353
2025-07-06,Paid Social,IN,prospecting,235.09,18083,291
2025-07-06,Paid Social,IN,retargeting,206.88,15914,278
2025-07-06,Paid Social,UK,prospecting,384.84,29603,540
2025-07-06,Paid Social,UK,retargeting,484.0,37230,598
2025-07-06,Paid Social,US,prospecting,441.33,33949,594
2025-07-06,Paid Social,US,retargeting,510.14,39242,652
2025-07-06,Referral,BR,affiliates,88.54,1967,108
2025-07-06,Referral,DE,affiliates,149.88,3331,158
2025-07-06,Referral,IN,affiliates,91.74,2039,98
2025-07-06,Referral,UK,affiliates,163.54,3634,182
2025-07-06,Referral,US,affiliates,247.73,5505,276
2025-07-06,SEO,BR,organic,22.06,3151,220
2025-07-06,SEO,DE,organic,32.3,4615,317
2025-07-06,SEO,IN,organic,20.63,2947,219
2025-07-06,SEO,UK,organic,43.69,6242,432
2025-07-06,SEO,US,organic,49.86,7122,527
2025-07-07,Display,BR,prospecting,97.39,19477,167
2025-07-07,Display,BR,retargeting,89.24,17849,147
2025-07-07,Display,DE,prospecting,119.86,23971,217
2025-07-07,Display,DE,retargeting,100.65,20129,166
2025-07-07,Display,IN,prospecting,74.31,14862,129
2025-07-07,Display,IN,retargeting,89.96,17992,147
2025-07-07,Display,UK,prospecting,154.95,30990,223
2025-07-07,Display,UK,retargeting,160.95,32190,279
2025-07-07,Display,US,prospecting,154.57,30913,227
2025-07-07,Display,US,retargeting,181.17,36234,273
2025-07-07,Email,BR,lifecycle,28.49,3165,262
2025-07-07,Email,BR,newsletter,25.34,2816,262
2025-07-07,Email,DE,lifecycle,35.99,3998,383
2025-07-07,Email,DE,newsletter,26.98,2997,255
2025-07-07,Email,IN,lifecycle,24.54,2727,211
2025-07-07,Email,IN,newsletter,25.09,2787,234
2025-07-07,Email,UK,lifecycle,40.8,4533,404
2025-07-07,Email,UK,newsletter,55.02,6114,528
2025-07-07,Email,US,lifecycle,52.07,5786,551
2025-07-07,Email,US,newsletter,69.62,7736,727
2025-07-07,Paid Search,BR,brand,265.07,3682,166
2025-07-07,Paid Search,BR,nonbrand,302.21,4197,203
2025-07-07,Paid Search,DE,brand,286.39,3978,180
2025-07-07,Paid Search,DE,nonbrand,371.31,5157,225
2025-07-07,Paid Search,IN,brand,272.22,3781,173
2025-07-07,Paid Search,IN,nonbrand,265.81,3692,146
2025-07-07,Paid Search,UK,brand,458.48,6368,309
2025-07-07,Paid Search,UK,nonbrand,438.93,6096,280
2025-07-07,Paid Search,US,brand,666.49,9257,432
2025-07-07,Paid Search,US,nonbrand,588.87,8179,374
2025-07-07,Paid Social,BR,prospecting,219.04,16849,269
2025-07-07,Paid Social,BR,retargeting,195.93,15071,264
2025-07-07,Paid Social,DE,prospecting,296.94,22842,391
2025-07-07,Paid Social,DE,retargeting,270.55,20812,376
2025-07-07,Paid Social,IN,prospecting,207.63,15971,296
2025-07-07,Paid Social,IN,retargeting,240.2,18477,363
2025-07-07,Paid Social,UK,prospecting,390.92,30071,581
2025-07-07,Paid Social,UK,retargeting,378.34,29103,485
2025-07-07,Paid Social,US,prospecting,499.99,38461,740
2025-07-07,Paid Social,US,retargeting,473.67,36436,660
2025-07-07,Referral,BR,affiliates,107.57,2390,116
2025-07-07,Referral,DE,affiliates,118.44,2632,117
2025-07-07,Referral,IN,affiliates,100.87,2242,114
2025-07-07,Referral,UK,affiliates,152.69,3393,166
2025-07-07,Referral,US,affiliates,217.56,4835,258
2025-07-07,SEO,BR,organic,22.02,3146,212
2025-07-07,SEO,DE,organic,30.48,4354,297
2025-07-07,SEO,IN,organic,24.6,3514,247
2025-07-07,SEO,UK,organic,33.65,4807,341
2025-07-07,SEO,US,organic,59.66,8523,563
2025-07-08,Display,BR,prospecting,94.86,18972,159
2025-07-08,Display,BR,retargeting,85.34,17068,145
2025-07-08,Display,DE,prospecting,109.34,21868,174
2025-07-08,Display,DE,retargeting,123.77,24755,205
2025-07-08,Display,IN,prospecting,73.73,14746,109
2025-07-08,Display,IN,retargeting,64.78,12955,109
2025-07-08,Display,UK,prospecting,168.68,33736,260
2025-07-08,Display,UK,retargeting,147.13,29425,257
2025-07-08,Display,US,prospecting,194.7,38941,305
2025-07-08,Display,US,retargeting,188.87,37774,330
2025-07-08,Email,BR,lifecycle,24.99,2777,263
2025-07-08,Email,BR,newsletter,21.81,2423,225
2025-07-08,Email,DE,lifecycle,37.23,4136,372
2025-07-08,Email,DE,newsletter,34.51,3834,353
2025-07-08,Email,IN,lifecycle,24.21,2690,227
2025-07-08,Email,IN,newsletter,23.61,2623,224
2025-07-08,Email,UK,lifecycle,45.08,5009,390
2025-07-08,Email,UK,newsletter,45.67,5074,460
2025-07-08,Email,US,lifecycle,62.64,6960,626
2025-07-08,Email,US,newsletter,53.28,5920,490
2025-07-08,Paid Search,BR,brand,271.48,3771,183
2025-07-08,Paid Search,BR,nonbrand,318.06,4417,211
2025-07-08,Paid Search,DE,brand,283.48,3937,165
2025-07-08,Paid Search,DE,nonbrand,330.66,4592,207
2025-07-08,Paid Search,IN,brand,256.69,3565,156
2025-07-08,Paid Search,IN,nonbrand,195.98,2722,118
2025-07-08,Paid Search,UK,brand,434.57,6036,286
2025-07-08,Paid Search,UK,nonbrand,555.54,7716,319
2025-07-08,Paid Search,US,brand,668.86,9290,433
2025-07-08,Paid Search,US,nonbrand,654.52,9091,421
2025-07-08,Paid Social,BR,prospecting,276.02,21233,384
2025-07-08,Paid Social,BR,retargeting,287.14,22088,385
2025-07-08,Paid Social,DE,prospecting,286.78,22060,386
2025-07-08,Paid Social,DE,retargeting,331.4,25492,527
2025-07-08,Paid Social,IN,prospecting,175.73,13518,262
2025-07-08,Paid Social,IN,retargeting,212.12,16317,290
2025-07-08,Paid Social,UK,prospecting,294.45,22650,433
2025-07-08,Paid Social,UK,retargeting,378.67,29129,531
2025-07-08,Paid Social,US,prospecting,423.79,32599,573
2025-07-08,Paid Social,US,retargeting,525.67,40437,842
2025-07-08,Referral,BR,affiliates,104.1,2313,108
2025-07-08,Referral,DE,affiliates,128.83,2863,149
2025-07-08,Referral,IN,affiliates,71.01,1578,77
2025-07-08,Referral,UK,affiliates,151.11,3358,174
2025-07-08,Referral,US,affiliates,216.04,4801,231
2025-07-08,SEO,BR,organic,23.78,3398,231
2025-07-08,SEO,DE,organic,26.89,3841,266
2025-07-08,SEO,IN,organic,20.56,2938,216
2025-07-08,SEO,UK,organic,25.16,3595,249
2025-07-08,SEO,US,organic,56.14,8020,564
2025-07-09,Display,BR,prospecting,80.82,16163,110
2025-07-09,Display,BR,retargeting,101.74,20349,166
2025-07-09,Display,DE,prospecting,118.99,23798,195
2025-07-09,Display,DE,retargeting,109.58,21916,182
2025-07-09,Display,IN,prospecting,82.41,16483,123
2025-07-09,Display,IN,retargeting,96.94,19388,160
2025-07-09,Display,UK,prospecting,156.62,31324,258
2025-07-09,Display,UK,retargeting,138.22,27644,228
2025-07-09,Display,US,prospecting,143.61,28723,238
2025-07-09,Display,US,retargeting,200.87,40173,338
2025-07-09,Email,BR,lifecycle,29.99,3332,298
2025-07-09,Email,BR,newsletter,29.74,3304,315
2025-07-09,Email,DE,lifecycle,42.63,4737,441
2025-07-09,Email,DE,newsletter,34.57,3841,358
2025-07-09,Email,IN,lifecycle,25.83,2870,281
2025-07-09,Email,IN,newsletter,27.68,3076,309
2025-07-09,Email,UK,lifecycle,45.14,5016,397
2025-07-09,Email,UK,newsletter,39.7,4411,384
2025-07-09,Email,US,lifecycle,59.57,6619,638
2025-07-09,Email,US,newsletter,57.25,6361,630
2025-07-09,Paid Search,BR,brand,264.11,3668,182
2025-07-09,Paid Search,BR,nonbrand,289.64,4023,183
2025-07-09,Paid Search,DE,brand,280.85,3901,180
2025-07-09,Paid Search,DE,nonbrand,310.1,4307,210
2025-07-09,Paid Search,IN,brand,208.24,2892,134
2025-07-09,Paid Search,IN,nonbrand,200.71,2788,128
2025-07-09,Paid Search,UK,brand,450.94,6263,296
2025-07-09,Paid Search,UK,nonbrand,402.67,5593,228
2025-07-09,Paid Search,US,brand,491.42,6825,317
2025-07-09,Paid Search,US,nonbrand,490.75,6816,280
2025-07-09,Paid Social,BR,prospecting,254.97,19613,364
2025-07-09,Paid Social,BR,retargeting,209.3,16100,291
2025-07-09,Paid Social,DE,prospecting,265.27,20406,381
2025-07-09,Paid Social,DE,retargeting,281.1,21623,381
2025-07-09,Paid Social,IN,prospecting,166.45,12804,238
2025-07-09,Paid Social,IN,retargeting,222.77,17136,302
2025-07-09,Paid Social,UK,prospecting,343.53,26426,458
2025-07-09,Paid Social,UK,retargeting,381.01,29309,584
2025-07-09,Paid Social,US,prospecting,525.21,40401,755
2025-07-09,Paid Social,US,retargeting,623.0,47923,948
2025-07-09,Referral,BR,affiliates,86.88,1931,98
2025-07-09,Referral,DE,affiliates,123.74,2750,139
2025-07-09,Referral,IN,affiliates,81.86,1819,96
2025-07-09,Referral,UK,affiliates,136.39,3031,160
2025-07-09,Referral,US,affiliates,219.24,4872,243
2025-07-09,SEO,BR,organic,25.64,3663,273
2025-07-09,SEO,DE,organic,30.86,4408,298
2025-07-09,SEO,IN,organic,16.84,2406,170
2025-07-09,SEO,UK,organic,35.52,5074,365
2025-07-09,SEO,US,organic,53.23,7604,563
2025-07-10,Display,BR,prospecting,91.88,18376,152
2025-07-10,Display,BR,retargeting,74.74,14947,113
2025-07-10,Display,DE,prospecting,102.2,20439,156
2025-07-10,Display,DE,retargeting,107.5,21500,163
2025-07-10,Display,IN,prospecting,82.68,16535,135
2025-07-10,Display,IN,retargeting,58.13,11626,94
2025-07-10,Display,UK,prospecting,141.08,28217,207
2025-07-10,Display,UK,retargeting,174.64,34927,246
2025-07-10,Display,US,prospecting,176.9,35380,272
2025-07-10,Display,US,retargeting,201.01,40202,325
2025-07-10,Email,BR,lifecycle,28.5,3166,266
2025-07-10,Email,BR,newsletter,25.24,2804,266
2025-07-10,Email,DE,lifecycle,36.61,4067,370
2025-07-10,Email,DE,newsletter,26.42,2935,263
2025-07-10,Email,IN,lifecycle,16.59,1844,164
2025-07-10,Email,IN,newsletter,21.4,2378,195
2025-07-10,Email,UK,lifecycle,51.2,5689,502
2025-07-10,Email,UK,newsletter,48.66,5407,476
2025-07-10,Email,US,lifecycle,68.84,7649,655
2025-07-10,Email,US,newsletter,64.32,7147,662
2025-07-10,Paid Search,BR,brand,244.71,3399,163
2025-07-10,Paid Search,BR,nonbrand,269.98,3750,176
2025-07-10,Paid Search,DE,brand,267.07,3709,173
2025-07-10,Paid Search,DE,nonbrand,365.58,5077,240
2025-07-10,Paid Search,IN,brand,239.28,3323,144
2025-07-10,Paid Search,IN,nonbrand,263.19,3655,166
2025-07-10,Paid Search,UK,brand,405.7,5635,262
2025-07-10,Paid Search,UK,nonbrand,452.2,6281,268
2025-07-10,Paid Search,US,brand,445.61,6189,260
2025-07-10,Paid Search,US,nonbrand,727.08,10098,503
2025-07-10,Paid Social,BR,prospecting,197.22,15171,284
2025-07-10,Paid Social,BR,retargeting,272.64,20972,349
2025-07-10,Paid Social,DE,prospecting,282.42,21725,367
2025-07-10,Paid Social,DE,retargeting,288.53,22195,361
2025-07-10,Paid Social,IN,prospecting,213.69,16437,284
2025-07-10,Paid Social,IN,retargeting,242.36,18643,332
2025-07-10,Paid Social,UK,prospecting,363.99,27999,505
2025-07-10,Paid Social,UK,retargeting,379.77,29213,532
2025-07-10,Paid Social,US,prospecting,608.64,46819,852
2025-07-10,Paid Social,US,retargeting,543.35,41797,618
2025-07-10,Referral,BR,affiliates,106.7,2371,128
2025-07-10,Referral,DE,affiliates,110.26,2450,127
2025-07-10,Referral,IN,affiliates,94.17,2093,104
2025-07-10,Referral,UK,affiliates,169.55,3768,192
2025-07-10,Referral,US,affiliates,196.34,4363,207
2025-07-10,SEO,BR,organic,25.98,3712,271
2025-07-10,SEO,DE,organic,31.2,4458,313
2025-07-10,SEO,IN,organic,19.09,2727,203
